[ 2026-05-20 12:55:14,873 ] asyncio - DEBUG - Using selector: KqueueSelector
[ 2026-05-20 12:55:21,899 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[0:6]
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[7:8]
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[9:12]
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[13:15]
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[16:31]
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[32:33]
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[34:45]
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[46:48]
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[49:67]
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[68:69]
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[70:84]
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[85:90]
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[91:111]
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[112:115]
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[116:123]
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[124:127]
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[128:149]
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[150:151]
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[152:174]
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[175:176]
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[177:195]
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[196:197]
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-05-20 12:55:21,900 ] python_multipart.multipart - DEBUG - Calling on_end with no data
[ 2026-05-20 12:55:21,901 ] root - INFO - Entered get_usvisa_data_as_dict method as VehicleData class
[ 2026-05-20 12:55:21,901 ] root - INFO - Created vehicle data dict
[ 2026-05-20 12:55:21,901 ] root - INFO - Exited get_vehicle_data_as_dict method as VehicleData class
[ 2026-05-20 12:55:21,911 ] root - INFO - Entered predict method of VehicleDataClassifier class
[ 2026-05-20 12:55:21,912 ] root - ERROR - Error occurred in python script: [/Users/him/Desktop/complete_mlops_project/src/pipline/prediction_pipeline.py] at line number [101]: Environment variable: AWS_ACCESS_KEY_ID is not not set.
